,DISTRICT_N,AVG_Math_2022,AVG_Reading_2022,AVG_Math_2019,AVG_Reading_2019,AVG_Math_2021,AVG_Reading_2021
98,34909,0.865644667,0.911001404,0.846592464,0.891200597,0.848790183,0.908791615
99,175902,0.866904831,0.912228457,0.845025594,0.891447919,0.841404962,0.904725223
100,235901,0.81087865,0.859274661,0.820955802,0.851826983,0.785838697,0.845597145
101,43917,0.864909052,0.916582863,0.886279166,0.910418854,0.874163676,0.916149703
102,72904,0.861204323,0.918174973,0.842216065,0.905731182,0.887520568,0.937040733
103,109913,0.864983395,0.907992857,0.883558596,0.918779843,0.850600865,0.908554117
104,123807,0.720740357,0.908144401,0.606205209,0.765226876,0.681395416,0.891668387
105,130901,0.898861813,0.94050954,0.906889623,0.945458233,0.885012745,0.939494184
106,116916,0.843511249,0.891254794,0.86895032,0.910266357,0.84035634,0.905965192
107,241901,0.858925579,0.89759961,0.861023373,0.894949936,0.851636105,0.903669681
108,74903,0.847406371,0.898349809,0.849823039,0.892423753,0.837252873,0.895066079
109,148901,0.895582634,0.924357381,0.90306449,0.914889086,0.896408517,0.926805839
110,17901,0.909208006,0.936334135,0.885149713,0.937833332,0.885009453,0.949759505
111,117901,0.864020645,0.903136102,0.863815374,0.899205829,0.854722768,0.902693458
112,161923,0.872667435,0.927772389,0.875136078,0.922840188,0.845105067,0.923046597
113,185901,0.857644902,0.881666209,0.838583569,0.872825349,0.826689425,0.875952958
114,169901,0.836760326,0.892262809,0.859770295,0.895525467,0.842319381,0.900665942
115,249902,0.845499747,0.894117551,0.857098405,0.89324556,0.843970745,0.899497878
116,180901,0.857254005,0.912896783,0.844873728,0.889019292,0.73827446,0.781280936
117,136901,0.853326788,0.91220947,0.860233377,0.903599565,0.844726416,0.918998166
118,160901,0.864342067,0.900254384,0.873113734,0.902092977,0.861646004,0.903200477
119,8903,0.872308232,0.903394897,0.864819718,0.892724008,0.867281704,0.907607358
120,213801,0.661762326,0.693613006,0.767593036,0.800684668,0.658696334,0.711300384
121,21803,0.861846679,0.895733204,0.840802936,0.863228922,0.27793389,0.404769534
122,20905,0.863502421,0.904454933,0.872705041,0.900403949,0.854244532,0.906643369
123,215901,0.8636472,0.893640324,0.848757777,0.886420676,0.847423456,0.888169891
124,198901,0.865199463,0.91069892,0.866898165,0.909768153,0.842377289,0.917521737
125,239901,0.861905126,0.896919921,0.880528285,0.902390284,0.865933019,0.902837404
126,181901,0.868588181,0.920934414,0.875862518,0.914974613,0.851685712,0.921002844
127,249903,0.849290751,0.90015582,0.859600823,0.889610612,0.845146852,0.900725087
129,203902,0.881679891,0.908306328,0.856276538,0.883970255,0.856372622,0.886125135
130,184909,0.898472375,0.946621642,0.892892336,0.936787357,0.889500662,0.945576801
131,41901,0.865885247,0.923157032,0.864933419,0.923241145,0.843506981,0.91224686
132,121902,0.856899669,0.915449248,0.852048229,0.913209018,0.841450307,0.921109843
133,25908,0.826697795,0.876616928,0.861782263,0.917672992,0.842306024,0.896908978
134,15830,0.819285264,0.894137183,0.836918307,0.884827655,0.797638389,0.886956437
135,24901,0.812799629,0.865211879,0.834227501,0.877728681,0.793110561,0.861683566
136,223901,0.828690385,0.861087225,0.843799759,0.862837615,0.812424854,0.86778845
137,107902,0.882073961,0.911193068,0.871805712,0.903916049,0.859711934,0.909956956
138,31901,0.85399511,0.897603891,0.876045358,0.905493934,0.805499469,0.883456754
139,25902,0.860826785,0.899165261,0.858316341,0.89137836,0.852863521,0.898211768
140,161919,0.843166439,0.88992977,0.850687232,0.891265871,0.826595225,0.884125761
141,21902,0.840412506,0.882153222,0.852253873,0.884604719,0.829513395,0.885103425
142,119901,0.878299327,0.920448867,0.862922321,0.90082453,0.86064756,0.921708119
