feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% of Population Under 18 in Poverty,0.06271104041539538,5,0.004165575838236829,0.0,0.0009852216748768461,-0.010837438423645308,0.0,0.007188878301367897,0.004830917874396134,0.050691244239631346,0.0,0.0
% ADA 2020-2021,0.05983347523612647,4,0.009776657029350874,1.0,-0.0049261083743842304,-0.008866995073891614,0.0,0.016872384589201313,-0.02415458937198067,0.041474654377880185,0.02564102564102564,0.0
% Students Tested Math - Grade 5 2021-2022,0.05964654046349829,4,0.006869076059131931,1.0,-0.0039408866995073845,-0.008866995073891614,0.0,0.011854531942177005,-0.019323671497584537,0.041474654377880185,0.02564102564102564,0.0
% White Students 2018-2019,0.05822077657369958,4,0.027663028576941175,1.0,-0.005911330049261076,-0.002955665024630538,0.0,0.04774037338642402,-0.028985507246376805,0.01382488479262673,0.02564102564102564,0.0
% Students Tested Math - Grade 6 2020-2021,0.054392317445557725,4,0.009294056926878342,1.0,-0.0049261083743842304,-0.007881773399014769,0.0,0.01603952172950814,-0.02415458937198067,0.036866359447004615,0.02564102564102564,0.0
% Students Tested Math - Grade 5 2018-2019,0.054064932707124716,5,0.009578671396857629,0.0,0.002955665024630538,-0.0049261083743842304,0.0,0.01653070442955843,0.014492753623188403,0.023041474654377885,0.0,0.0
43-Rural: Remote,0.05170463775602519,4,0.0004582098421839869,0.0,0.0009852216748768461,-0.009852216748768461,0.0,0.0007907705728732897,0.004830917874396134,0.04608294930875577,0.0,0.0
CRRSA ESSER II 21 NORM,0.05009176344761432,4,0.008050418882254209,0.0,-0.002955665024630538,-0.010837438423645308,0.0,0.013893272831171378,-0.014492753623188403,0.050691244239631346,0.0,0.0
Total Teachers 2020-2021,0.044003807519148834,6,0.014045817581257806,1.0,0.014778325123152714,0.016748768472906395,0.0,0.024240027587065914,0.07246376811594213,-0.07834101382488486,0.02564102564102564,0.0
% Students Tested Math - Grade 7 2021-2022,0.04104184130547721,4,0.00737300450724198,0.0,0.002955665024630538,-0.002955665024630538,0.0,0.012724202889662072,0.014492753623188403,0.01382488479262673,0.0,0.0
% Free or Reduced Lunch 2018-2019,0.03958418927964612,7,0.010491595337990371,1.0,0.0019704433497536923,0.002955665024630538,0.0,0.018106212682454943,0.009661835748792268,-0.01382488479262673,0.02564102564102564,0.0
% Students Tested Math - Grade 5 2020-2021,0.03920963452446214,4,0.013202820994245752,1.0,0.0,0.0019704433497536923,0.0,0.022785198745187654,0.0,-0.009216589861751154,0.02564102564102564,0.0
Total Staff 2020-2021,0.03606161336474183,5,0.009314736680878942,1.0,0.015763546798029538,0.017733990147783228,0.0,0.01607521048913842,0.07729468599033815,-0.08294930875576037,0.02564102564102564,0.0
% Students Tested Math - Grade 3 2018-2019,0.03029121560682195,6,0.007906069329119188,1.0,0.0009852216748768461,0.002955665024630538,0.0,0.013644156884026905,0.004830917874396134,-0.01382488479262673,0.02564102564102564,0.0
% Housing Owner Occup 10,0.02946121443780155,4,0.005487176721248889,0.0,0.006896551724137922,0.002955665024630538,0.0,0.009469674109655348,0.03381642512077294,-0.01382488479262673,0.0,0.0
% Hispanic Students 2021-2022,0.028804203595483174,4,0.010359679440087336,1.0,-0.0039408866995073845,-0.0009852216748768461,0.0,0.017878554521166493,-0.019323671497584537,0.004608294930875577,0.02564102564102564,0.0
42-Rural: Distant,0.02772112218981968,4,0.0010733311093386111,0.0,-0.007881773399014769,-0.013793103448275845,0.0,0.0018523361527306775,-0.03864734299516907,0.06451612903225808,0.0,0.0
% Students Tested Math - Grade 8 2018-2019,0.025040974985883778,4,0.00520915018908125,0.0,0.009852216748768461,0.006896551724137922,0.0,0.00898986075805148,0.04830917874396134,-0.03225806451612904,0.0,0.0
33-Town: Remote,0.02389210816020975,4,0.0003638989999349035,0.0,0.0009852216748768461,-0.0039408866995073845,0.0,0.0006280105623113071,0.004830917874396134,0.018433179723502308,0.0,0.0
% On Campus 10/30/20,0.02027899410419861,7,0.025704745715833626,1.0,-0.005911330049261076,0.019704433497536922,1.0,0.044360802898489884,-0.028985507246376805,-0.09216589861751154,0.02564102564102564,0.07142857142857142
% County Infected 07/29/2022,0.014268993699218517,5,0.004952874162619592,0.0,0.0049261083743842304,0.0039408866995073845,0.0,0.008547584050740156,0.02415458937198067,-0.018433179723502308,0.0,0.0
Avg Family Size 10,0.007249166022672046,5,0.006741775011985689,0.0,0.0009852216748768461,0.0019704433497536923,0.0,0.011634838010027064,0.004830917874396134,-0.009216589861751154,0.0,0.0
41-Rural: Fringe,-0.03172691200831142,4,0.00043677312035633135,0.0,-0.0009852216748768461,0.005911330049261076,0.0,0.000753775451338179,-0.004830917874396134,-0.02764976958525346,0.0,0.0
% HH Married-Child 10,-0.03504729252944744,5,0.006007586324982618,0.0,0.002955665024630538,0.012807881773399,0.0,0.010367787948746656,0.014492753623188403,-0.0599078341013825,0.0,0.0
