feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Students Tested Reading - Grade 3 2018-2019,0.12178274648114283,4,0.00828793405842898,1.0,0.011822660098522153,-0.013793103448275845,0.0,0.014735521554171068,0.025316455696202535,0.0625,0.019230769230769232,0.0
% Age 85-Up Pop 10,0.12104391445653508,4,0.006134867212195415,1.0,0.0049261083743842304,-0.017733990147783228,0.0,0.010907479161871948,0.010548523206751056,0.08035714285714285,0.019230769230769232,0.0
% Students Tested Reading - Grade 8 2018-2019,0.09850595367948577,5,0.00843924209575222,1.0,0.021674876847290615,-0.0039408866995073845,0.0,0.015004539481869028,0.04641350210970465,0.01785714285714286,0.019230769230769232,0.0
Total Teachers 2021-2022,0.09785909599746752,4,0.009209041426444879,1.0,0.0019704433497536923,-0.012807881773399,0.0,0.01637320319828358,0.0042194092827004225,0.05803571428571429,0.019230769230769232,0.0
% County Deaths 09/28/20,0.09721562861603437,5,0.007522801288799472,1.0,0.0009852216748768461,-0.013793103448275845,0.0,0.013375154743914932,0.0021097046413502112,0.0625,0.019230769230769232,0.0
CARES ESSER I 20 NORM,0.08998240746196033,5,0.007978398119439841,1.0,0.011822660098522153,-0.006896551724137922,0.0,0.014185182534988567,0.025316455696202535,0.03125,0.019230769230769232,0.0
County Population,0.08800522146387339,6,0.009239527469957492,1.0,0.009852216748768461,-0.006896551724137922,0.0,0.016427405819602052,0.021097046413502112,0.03125,0.019230769230769232,0.0
% ADA 2021-2022,0.08535098536987903,5,0.008933257973104987,1.0,0.008866995073891614,-0.006896551724137922,0.0,0.015882874366957907,0.0189873417721519,0.03125,0.019230769230769232,0.0
Total Students 2021-2022,0.08457580865004478,6,0.013794561108518288,1.0,0.012807881773399,-0.002955665024630538,0.0,0.02452602193886567,0.027426160337552748,0.013392857142857144,0.019230769230769232,0.0
% Students Tested Reading - Grade 5 2020-2021,0.08205108420258905,4,0.013836594411965539,1.0,0.015763546798029538,-0.0009852216748768461,0.0,0.024600754995930722,0.03375527426160338,0.004464285714285715,0.019230769230769232,0.0
% K 2018-2019,0.08140445929942668,6,0.010050848282366808,1.0,0.02068965517241377,0.0,0.0,0.01786989260030301,0.04430379746835444,-0.0,0.019230769230769232,0.0
% Grades 9-12 2020-2021,0.07920558921549231,5,0.009449778537693245,1.0,0.011822660098522153,-0.0039408866995073845,0.0,0.016801221431377678,0.025316455696202535,0.01785714285714286,0.019230769230769232,0.0
% Grades 9-12 2018-2019,0.0747951715768866,6,0.00948007641737461,1.0,0.011822660098522153,-0.002955665024630538,0.0,0.01685508950705769,0.025316455696202535,0.013392857142857144,0.019230769230769232,0.0
