variable,source,type,description,v1,v2,v3,v4
Average Score Reading Poverty Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Math Free Lunch Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,Y,N
Average Score Reading Free Lunch Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,Y,N
Average Score Math T1 Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Reading T1 Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Math Special Ed Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,Y,N
Average Score Reading Special Ed Grade 4 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,Y,N
Average Score Math All Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
Average Score Reading All Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
Average Score Math Hispanic Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
Average Score Reading Hispanic Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,Y,N
Average Score Math Asian Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,Y,N
Average Score Reading Asian Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,Y,N
Average Score Math Black Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,Y,N
Average Score Reading Black Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,Y,N
Average Score Math White Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,Y,N
Average Score Reading White Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,Y,N
Average Score Math Poverty Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Reading Poverty Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Math Free Lunch Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,Y,N
Average Score Reading Free Lunch Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,Y,N
Average Score Math T1 Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Reading T1 Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Math Special Ed Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,Y,N
Average Score Reading Special Ed Grade 5 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,Y,N
Average Score Math All Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
Average Score Reading All Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
Average Score Math Hispanic Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
Average Score Reading Hispanic Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,Y,N
Average Score Math Asian Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,Y,N
Average Score Reading Asian Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,Y,N
Average Score Math Black Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,Y,N
Average Score Reading Black Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,Y,N
Average Score Math White Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,Y,N
Average Score Reading White Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,Y,N
Average Score Math Poverty Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Reading Poverty Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Math Free Lunch Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,Y,N
Average Score Reading Free Lunch Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,Y,N
Average Score Math T1 Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Reading T1 Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Math Special Ed Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,Y,N
Average Score Reading Special Ed Grade 6 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,Y,N
Average Score Math All Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
Average Score Reading All Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
Average Score Math Hispanic Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
Average Score Reading Hispanic Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,Y,N
Average Score Math Asian Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,Y,N
Average Score Reading Asian Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,Y,N
Average Score Math Black Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,Y,N
Average Score Reading Black Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,Y,N
Average Score Math White Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,Y,N
Average Score Reading White Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,Y,N
Average Score Math Poverty Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Reading Poverty Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Math Free Lunch Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,Y,N
Average Score Reading Free Lunch Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,Y,N
Average Score Math T1 Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Reading T1 Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Math Special Ed Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,Y,N
Average Score Reading Special Ed Grade 7 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,Y,N
Average Score Math All Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N,N
Average Score Reading All Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N,N
Average Score Math Hispanic Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,Y,N
Average Score Reading Hispanic Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,Y,N
Average Score Math Asian Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,Y,N
Average Score Reading Asian Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,Y,N
Average Score Math Black Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,Y,N
Average Score Reading Black Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,Y,N
Average Score Math White Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,Y,N
Average Score Reading White Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,Y,N
Average Score Math Poverty Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Reading Poverty Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y,N
Average Score Math Free Lunch Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,Y,N
Average Score Reading Free Lunch Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,Y,N
Average Score Math T1 Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Reading T1 Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y,N
Average Score Math Special Ed Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,Y,N
Average Score Reading Special Ed Grade 8 2020-2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,Y,N
% County Infected 09/28/20,DATA_COVID_COUNTY.csv,Numeric,covid infection cases/county population,Y,Y,N,Y
% County Deaths 09/28/20,DATA_COVID_COUNTY.csv,Numeric,covid death cases/county population,Y,Y,N,Y
% County Infected 10/30/20,DATA_COVID_COUNTY.csv,Numeric,covid infection cases/county population,Y,Y,N,Y
% County Deaths 10/30/20,DATA_COVID_COUNTY.csv,Numeric,covid death cases/county population,Y,Y,N,Y
% County Infected 01/29/21,DATA_COVID_COUNTY.csv,Numeric,covid infection cases/county population,Y,Y,N,Y
% County Deaths 01/29/21,DATA_COVID_COUNTY.csv,Numeric,covid death cases/county population,Y,Y,N,Y
% On Campus 09/28/20,DATA_COVID_DISTRICT.csv,Numeric,Approx. District On-Campus Enrollment/county population,Y,Y,N,Y
% On Campus 10/30/20,DATA_COVID_DISTRICT.csv,Numeric,Approx. District On-Campus Enrollment/county population,Y,Y,N,Y
% On Campus 01/29/21,DATA_COVID_DISTRICT.csv,Numeric,Approx. District On-Campus Enrollment/county population,Y,Y,N,Y
% White Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,White alone population,Y,Y,N,Y
% Black Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Black alone population,Y,Y,N,Y
% Asian Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Asian alone population,Y,Y,N,Y
% Hispanic Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Hispanic population,Y,Y,N,Y
% Male Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Male population,Y,Y,N,Y
% Female Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Female population,Y,Y,N,Y
% Age 0-4 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 0-4 population,Y,Y,N,Y
% Age 5-9 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 5-9 population,Y,Y,N,Y
% Age 10-14 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 10-14 population,Y,Y,N,Y
% Age 15-19 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 15-19 population,Y,Y,N,Y
% Age 20-24 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 20-24 population,Y,Y,N,Y
% Age 25-34 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 25-34 population,Y,Y,N,Y
% Age 35-44 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 35-44 population,Y,Y,N,Y
% Age 45-54 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 45-54 population,Y,Y,N,Y
% Age 55-64 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 55-64 population,Y,Y,N,Y
% Age 65-74 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 65-74 population,Y,Y,N,Y
% Age 75-84 Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 75-84 population,Y,Y,N,Y
% Age 85-Up Pop 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Age 85-UP population,Y,Y,N,Y
% HH 1 Male 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of 1-person male households,Y,Y,N,Y
% HH 1 Female 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of 1-person female households,Y,Y,N,Y
% HH Married-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of married couple households with children,Y,Y,N,Y
% HH Married-noChild 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of married couple households with no children,Y,Y,N,Y
% HH Male-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of male-headed households with children,Y,Y,N,Y
% HH Female-Child 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of female-headed households with children,Y,Y,N,Y
% Housing Vacant 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Number of vacant housing units,Y,Y,N,Y
% Housing Owner Occup 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Owner Occupied Housing,Y,Y,N,Y
% Housing Renter Occup 10,DATA_Census_Block_Group_2010_TX_County.csv,Numeric,Renter Occupied Housing,Y,Y,N,Y
Total Schools Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of the number of schools between 2019 and 2021,Y,Y,N,Y
Total Students Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of the number of students between 2019 and 2021,Y,Y,N,N
% Operational Schools Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of operational schools ratio between 2019 and 2021,Y,Y,N,Y
% Title 1 School-wide Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of Title 1 school-wide eligible school ratio between 2019 and 2021,Y,Y,N,N
% Title 1 Eligible Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of Title 1 targeted assistance eligible school ratio between 2019 and 2021,Y,Y,N,N
Teachers:Students Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of Full-time teachers and students ratio between 2019 and 2021,Y,Y,N,N
Staff:Students Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of staffs and students ratio between 2019 and 2021,Y,Y,N,N
% Free Lunch Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of free lunch porgram eligible school ratio between 2019 and 2021,Y,Y,N,N
% Reduced-price Lunch Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of reduced-price lunch eligible student ratio between 2019 and 2021,Y,Y,N,N
% Asian Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of hispanic student ratio between 2019 and 2021,Y,Y,N,N
% Hispanic Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of Hispanic student ratio between 2019 and 2021,Y,Y,N,N
% Black Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of black student ratio between 2019 and 2021,Y,Y,N,N
% White Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of white student ratio between 2019 and 2021,Y,Y,N,N
% Grades 1-8 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of grades 1-8 student ratio between 2019 and 2021,Y,Y,N,N
% Grades 9-12 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of grades 9-12 student ratio between 2019 and 2021,Y,Y,N,N
% Prek Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of pre-k student ratio between 2019 and 2021,Y,Y,N,N
% Kinder Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of kindergarten student ratio between 2019 and 2021,Y,Y,N,N
% ADA Diff,DATA_ADA_DISTRICT.csv,Numeric,Difference of average daily attendance ratio between 2019 and 2021,Y,Y,N,N
% Tested Math G3 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 3 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G3 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 3 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Tested Math G4 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 4 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G4 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 4 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Tested Math G5 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 5 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G5 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 5 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Tested Math G6 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 6 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G6 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 6 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Tested Math G7 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 7 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G7 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 7 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Tested Math G8 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 8 student tested math exam between 2019 and 2021,Y,Y,N,N
% Tested Reading G8 Diff,DATA_STAAR_DISTRICT_2021.csv,Numeric,Difference of ratio of grade 8 student tested reading exam between 2019 and 2021,Y,Y,N,N
% Grade 1 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 1 students between 2019 and 2021,Y,N,N,N
% Grade 2 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 2 students between 2019 and 2021,Y,N,N,N
% Grade 3 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 3 students between 2019 and 2021,Y,N,N,N
% Grade 4 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 4 students between 2019 and 2021,Y,N,N,N
% Grade 5 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 5 students between 2019 and 2021,Y,N,N,N
% Grade 6 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 6 students between 2019 and 2021,Y,N,N,N
% Grade 7 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 7 students between 2019 and 2021,Y,N,N,N
% Grade 8 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 8 students between 2019 and 2021,Y,N,N,N
% Grade 9 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 9 students between 2019 and 2021,Y,N,N,N
% Grade 10 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 10 students between 2019 and 2021,Y,N,N,N
% Grade 11 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 11 students between 2019 and 2021,Y,N,N,N
% Grade 12 Diff,DATA_NCES_DISTRICT.csv,Numeric,Difference of ratio of grade 12 students between 2019 and 2021,Y,N,N,N
AVG_Math_2019,,Numeric,Average math score for grade 3-8 2019,Y,N,N,N
AVG_Reading_2019,,Numeric,Average reading score for grade 3-8 2019,Y,N,N,N
AVG_Math_2021,,Numeric,Average math score for grade 3-8 2021,Y,N,N,N
AVG_Reading_2021,,Numeric,Average reading score for grade 3-8 2021,Y,N,N,N
% LOSS Math,,Numeric,Average 2021 - Average 2019 / Avergage 2019,Y,N,N,N
% LOSS Reading,,Numeric,Average 2021 - Average 2019 / Avergage 2019,Y,N,N,N
% LOSS All,,Numeric,Average 2021 - Average 2019 / Avergage 2019,Y,N,N,N
Label_Math,,Numeric,Label for math,Y,Y,Y,Y
Label_Reading,,Numeric,Label for reading,Y,Y,Y,Y
Label_All,,Numeric,Label for math and reading,Y,Y,Y,Y
