District Number,% Loss Math,% Loss Reading,,Range
219905,-0.03,0.01,,
61905,-0.01,0.02,,
57839,-0.05,-0.01,,
71807,-0.33,-0.33,,
31905,-0.06,-0.02,,
125906,-0.08,-0.02,,
75902,-0.04,0,,
108912,-0.09,-0.02,,
101916,-0.02,0,,
254902,-0.06,-0.02,,
161906,-0.04,-0.01,,
247903,-0.03,0,,
108914,-0.06,-0.03,,
15913,-0.05,0,,
227912,-0.05,-0.01,,
61912,-0.05,-0.02,,
227913,-0.03,-0.01,,
220910,-0.05,-0.01,,
79901,-0.03,0,,
58906,-0.03,0.01,,
141901,-0.01,0.01,,
57913,-0.07,-0.02,,
201903,-0.04,-0.02,,
107910,-0.02,0,,
240901,-0.09,-0.03,,
245901,-0.06,-0.02,,
113905,-0.03,0,,
185904,-0.01,0,,
61804,-0.05,-0.01,,
193902,-0.04,-0.01,,
246913,-0.05,-0.01,,
19914,0.01,0.02,,
90902,-0.02,-0.01,,
57846,-0.08,-0.02,,
187906,-0.06,-0.01,,
145911,0.01,0.01,,
74909,-0.02,0.01,,
110902,-0.03,-0.01,,
201904,-0.05,0.01,,
61902,-0.03,0,,
144902,0,0.02,,
246908,-0.05,-0.01,,
146906,-0.02,0.01,,
19908,-0.04,-0.02,,
57807,-0.03,-0.01,,
15825,-0.07,-0.03,,
212903,-0.02,0.01,,
34905,0.01,0.02,,
49907,-0.04,-0.01,,
72909,-0.06,-0.01,,
111902,-0.01,0.02,,
181908,-0.01,0.01,,
61914,-0.03,-0.01,,
140904,-0.04,0,,
187907,0,0.02,,
150901,-0.02,-0.01,,
28902,-0.03,0,,
77902,-0.04,-0.01,,
160905,0.12,0.18,,
141902,-0.05,0.01,,
178906,0.01,0.01,,
116906,-0.03,-0.01,,
92903,-0.02,0.01,,
83902,-0.01,0,,
168902,-0.02,0,,
161907,-0.01,0.01,,
54902,-0.02,-0.01,,
31906,-0.07,-0.02,,
241906,0.01,0,,
43919,-0.02,-0.01,,
113903,-0.03,0,,
152901,-0.03,0.01,,
152906,-0.02,0,,
127905,0.2,0.24,,
3903,-0.03,0.01,,
28903,-0.02,0.01,,
100907,-0.02,0,,
57805,-0.05,0.01,,
245902,-0.07,-0.02,,
7904,-0.03,0,,
129905,-0.05,-0.02,,
154901,-0.01,0.02,,
170906,-0.03,0,,
107906,-0.04,-0.01,,
109908,-0.03,-0.02,,
19910,-0.02,0,,
57844,-0.05,-0.02,,
227907,-0.06,-0.02,,
220908,-0.04,-0.01,,
22902,-0.51,-0.34,,
27904,-0.03,0,,
189901,-0.04,-0.02,,
94904,-0.02,0,,
73903,0.01,0.03,,
102902,-0.03,-0.01,,
161908,-0.02,0,,
234905,0,0,,
174909,-0.04,0.01,,
157901,0,0.02,,
158904,-0.2,-0.17,,
205904,-0.04,0,,
19903,0,0.03,,
25905,-0.01,0.01,,
70915,-0.03,0.01,,
108906,-0.05,-0.01,,
231901,-0.03,0,,
11905,-0.03,-0.01,,
161909,-0.04,0.02,,
43907,-0.03,0,,
90903,-0.04,-0.02,,
34906,-0.01,0,,
162904,0.01,0.01,,
223902,-0.01,0.01,,
130801,0.26,0.27,,
10901,-0.02,0.01,,
163908,-0.02,0.01,,
43908,-0.02,0,,
96904,-0.03,0.01,,
164901,0,0.02,,
108907,-0.08,-0.02,,
18902,-0.03,-0.01,,
246801,-0.16,0,,
221904,-0.01,0.01,,
57914,-0.03,-0.01,,
147903,-0.03,0,,
101855,-0.04,-0.01,,
62906,-0.01,0,,
197902,-0.01,-0.02,,
165802,-0.01,0.01,,
165901,-0.02,0.01,,
70908,-0.03,0.01,,
39905,0.02,0,,
161903,-0.03,0,,
166903,0,0.02,,
175910,0,0.01,,
200902,-0.04,0,,
70909,-0.02,-0.01,,
112907,-0.01,0.02,,
184904,-0.01,0.01,,
250903,0.02,0.03,,
182903,-0.02,0,,
108908,-0.09,-0.04,,
