,County,Per Capita Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty,Low Average Annual Pay (Less than $45000),Mid Average Annual Pay (Between $45000 & $70000),High Average Annual Pay (More than $70000),County #
182,Parker,59929,88617,47844,8.0,9.8,0,1,0,48367
183,Parmer,57137,61989,49887,12.2,17.7,0,1,0,48369
184,Pecos,40391,52792,51136,16.5,19.7,0,1,0,48371
185,Polk,42830,47535,43359,15.0,22.9,1,0,0,48373
186,Potter,49498,45903,50196,20.8,29.2,0,1,0,48375
187,Presidio,53222,39967,45784,19.4,32.4,0,1,0,48377
188,Rains,38200,59195,35774,13.6,20.3,1,0,0,48379
189,Randall,52391,71041,46641,9.6,11.6,0,1,0,48381
190,Reagan,54091,66711,68513,8.3,10.1,0,1,0,48383
191,Real,40667,43076,28919,16.4,32.1,1,0,0,48385
192,Red River,47762,46727,40502,15.7,25.6,1,0,0,48387
193,Reeves,44232,64863,64150,19.0,20.5,0,1,0,48389
194,Refugio,48266,48433,40982,15.3,23.7,1,0,0,48391
195,Roberts,52804,69927,51258,6.4,9.1,0,1,0,48393
196,Robertson,45866,55218,49019,14.2,23.2,0,1,0,48395
197,Rockwall,64943,106225,46899,4.8,6.4,0,1,0,48397
198,Runnels,44352,50972,39781,14.3,21.4,1,0,0,48399
199,Rusk,39551,56954,45044,14.2,18.1,0,1,0,48401
200,Sabine,40477,51046,39074,16.0,25.4,1,0,0,48403
201,San Augustine,43642,45781,42244,19.6,29.7,1,0,0,48405
202,San Jacinto,39298,51575,37993,16.1,26.1,1,0,0,48407
203,San Patricio,48391,56944,51055,14.8,21.6,0,1,0,48409
204,San Saba,40340,48349,38947,17.4,26.1,1,0,0,48411
205,Schleicher,46015,54471,48877,13.2,19.0,0,1,0,48413
206,Scurry,47272,57158,56062,13.8,17.6,0,1,0,48415
207,Shackelford,86294,64931,53684,12.5,15.8,0,1,0,48417
208,Shelby,44038,41194,41915,18.0,24.4,1,0,0,48419
209,Sherman,91855,66408,49009,11.3,16.9,0,1,0,48421
210,Smith,57076,60735,49365,12.7,18.2,0,1,0,48423
211,Somervell,50164,67984,66457,8.3,12.8,0,1,0,48425
212,Starr,32146,35716,34150,25.2,35.3,1,0,0,48427
213,Stephens,45759,48911,40304,15.6,23.5,1,0,0,48429
214,Sterling,63329,68435,47997,10.2,13.5,0,1,0,48431
215,Stonewall,59419,59802,42791,14.3,22.5,1,0,0,48433
216,Sutton,56622,64612,60928,11.7,17.3,0,1,0,48435
217,Swisher,53734,39897,40172,19.6,27.2,1,0,0,48437
218,Tarrant,55615,72064,60926,10.5,15.4,0,1,0,48439
219,Taylor,52429,52974,46215,12.2,16.9,0,1,0,48441
220,Terrell,61631,42849,44359,14.0,13.2,1,0,0,48443
221,Terry,41634,47292,43348,18.5,27.4,1,0,0,48445
222,Throckmorton,44582,46820,32520,13.5,27.7,1,0,0,48447
223,Titus,41207,52973,42361,14.3,21.4,1,0,0,48449
224,Tom Green,52947,55990,46795,12.0,16.6,0,1,0,48451
225,Travis,74032,82605,77141,10.2,10.9,0,0,1,48453
226,Trinity,39206,47685,36889,16.8,26.5,1,0,0,48455
227,Tyler,36694,48809,38948,18.9,27.9,1,0,0,48457
228,Upshur,39674,58231,40645,12.6,17.8,1,0,0,48459
229,Upton,50428,59593,81659,12.1,17.0,0,0,1,48461
230,Uvalde,45255,49275,38979,19.0,30.7,1,0,0,48463
231,Val Verde,41079,54346,40486,15.6,24.3,1,0,0,48465
232,Van Zandt,42656,57891,37992,12.9,17.7,1,0,0,48467
233,Victoria,53881,53583,47604,16.5,24.4,0,1,0,48469
234,Walker,32334,43002,44117,18.0,20.8,1,0,0,48471
235,Waller,44779,69460,46927,12.6,17.4,0,1,0,48473
236,Ward,48109,57257,61555,9.8,14.4,0,1,0,48475
237,Washington,58426,62667,43844,11.7,17.6,1,0,0,48477
238,Webb,35626,56588,39642,19.9,30.3,1,0,0,48479
239,Wharton,48384,55887,43794,13.8,20.6,1,0,0,48481
240,Wheeler,48691,49838,46913,13.5,20.3,0,1,0,48483
241,Wichita,46322,54659,43180,16.0,20.9,1,0,0,48485
242,Wilbarger,49537,51774,40636,14.6,21.1,1,0,0,48487
243,Willacy,31710,40190,40729,24.7,34.0,1,0,0,48489
244,Williamson,56693,91507,66434,5.6,6.3,0,1,0,48491
245,Wilson,49745,74529,42237,9.4,11.5,1,0,0,48493
246,Winkler,62259,77960,71009,11.8,16.9,0,0,1,48495
247,Wise,48435,71636,49567,10.0,12.4,0,1,0,48497
248,Wood,42978,61886,40819,13.5,21.4,1,0,0,48499
249,Yoakum,44395,67132,63164,10.8,14.9,0,1,0,48501
250,Young,53227,54569,45104,14.8,22.1,0,1,0,48503
251,Zapata,28981,39876,48249,24.6,39.5,0,1,0,48505
252,Zavala,33303,34898,41015,27.2,39.0,1,0,0,48507
